num,columnes,scores
3,gi_first inflam_periferic dyarrea final_diagnosis_code,0.7512335719984012
3,irritability neuro hepato final_diagnosis_code,0.6746387358408916
3,lymph_first inflam_periferic ct2 final_diagnosis_code,0.749736420298684
3,nasal_congestion hepato lymph_first final_diagnosis_code,0.7077367693079317
3,crackles headache_first home_confirmed final_diagnosis_code,0.7939224938865691
3,smokers_home odynophagia crup final_diagnosis_code,0.7510456434828142
3,home_confirmed taste_first ausc_resp final_diagnosis_code,0.7438761651699108
3,inflam_periferic sympt_epi hemorr_first final_diagnosis_code,0.7769522156124133
3,headache lymph_first tos final_diagnosis_code,0.7118000147147061
3,hemorr_first tos ocular_pain final_diagnosis_code,0.7074783915165701
3,artritis nasal_congestion dolor_toracic final_diagnosis_code,0.7382093425204758
3,taste_first odynophagia ocular_pain final_diagnosis_code,0.7396035131847021
3,tos gi_first nuchal_stiffness final_diagnosis_code,0.7280574626566401
3,lymph_first flu_binary highest_fever final_diagnosis_code,0.7302971588088985
3,smokers_home wheezing nasal_congestion final_diagnosis_code,0.7506948481009529
3,abdominal_pain shock flu_binary final_diagnosis_code,0.735242788488637
3,crup spleno_first conjuntivitis final_diagnosis_code,0.7482013288204743
3,neuro_first gi_symptoms hemorrhagies final_diagnosis_code,0.7030597908459951
3,neuro_first ct2 nasal_first final_diagnosis_code,0.7278961575593794
3,symptoms_binary ausc_resp ct2 final_diagnosis_code,0.7426295133409297
3,neuro_first crup_first hemorrhagies final_diagnosis_code,0.739056039624534
3,odynophagia irritability artritis final_diagnosis_code,0.7498212770385678
3,gi_symptoms school_symptoms gi_first final_diagnosis_code,0.7594559889046646
3,crup_first shock dysphonia final_diagnosis_code,0.7361835113164333
3,inflam_periferic headache gi_first final_diagnosis_code,0.7147101448786112
3,hemorrhagies disfonia_first hemorr_first final_diagnosis_code,0.7361794039912842
3,spleno_first symptoms_binary dyarrea final_diagnosis_code,0.7515200152476691
3,nasal_first highest_fever conjuntivitis final_diagnosis_code,0.7249937346090829
3,odynophagia tos school_symptoms final_diagnosis_code,0.7505842141026196
3,neuro_first ausc_resp shock_first final_diagnosis_code,0.4882491818774562
3,nasal_congestion symptoms_binary tos final_diagnosis_code,0.7444658653568645
3,fatiga ct2 dolor_toracic final_diagnosis_code,0.7367515340023221
3,abdominal_pain shock symptoms_binary final_diagnosis_code,0.7362437179872339
3,shock disfonia_first irritability final_diagnosis_code,0.7335477237188752
3,nasal_congestion fever hepato_first final_diagnosis_code,0.7486179354676055
3,taste_first lymph_first spleno_first final_diagnosis_code,0.7543789496939559
3,dyarrea shock_first school_symptoms final_diagnosis_code,0.5073301554868291
3,lymph_first headache hepato_first final_diagnosis_code,0.7470926248762381
3,dyarrea dysphonia ct2 final_diagnosis_code,0.7321201521784548
3,peripheral_paralysis headache_first hemorr_first final_diagnosis_code,0.7138370228975117
3,odynophagia hemorr_first neuro_first final_diagnosis_code,0.6675018632266152
3,ocular_pain inflam_periferic abdominal_pain final_diagnosis_code,0.743709029313743
3,gi_first nuchal_stiffness abdominal_pain final_diagnosis_code,0.7127047161406759
3,nasal_first fatiga hemorrhagies final_diagnosis_code,0.7331761243546161
3,smokers_home artralgies ocular_pain final_diagnosis_code,0.7592342095316337
3,crup crup_first ocular_pain final_diagnosis_code,0.744584965488484
3,mialgies tos final_diagnosis_code final_diagnosis_code,0.502202114101
3,final_diagnosis_code hemorrhagies inflam_periferic final_diagnosis_code,0.4853701909338616
3,gi_symptoms hepato hemorrhagies final_diagnosis_code,0.7443792366499727
3,dysphonia resp dolor_toracic final_diagnosis_code,0.7491059891796732
3,wheezing ausc_resp smokers_home final_diagnosis_code,0.7422366195897517
3,inflam_periferic abdominal_pain odynophagia final_diagnosis_code,0.6676866920505753
3,conjuntivitis shock_first resp final_diagnosis_code,0.5035290480826828
3,flu_binary sympt_epi hepato_first final_diagnosis_code,0.780345374108119
3,hemorrhagies hepato_first irritability final_diagnosis_code,0.7468393083404999
3,sex nasal_first ausc_resp final_diagnosis_code,0.7312121244096648
3,neuro fever artralgies final_diagnosis_code,0.7444041378274044
3,tachypnea dermatologic shock_first final_diagnosis_code,0.4970271024721971
3,shock neuro ct2 final_diagnosis_code,0.7107521718751799
3,shock abdominal_pain spleno_first final_diagnosis_code,0.73430859911103
4,headache_first hepato_first dermatologic inflam_periferic final_diagnosis_code,0.7992996655379982
4,tos spleno_first gi_symptoms dyarrea final_diagnosis_code,0.7977063169942549
4,spleno_first mialgies conjuntivitis dyarrea final_diagnosis_code,0.8026056197405993
4,crup_first artritis dolor_toracic home_confirmed final_diagnosis_code,0.8321168420604819
4,crup_first headache_first spleno_first abdominal_pain final_diagnosis_code,0.7429000037531175
4,crackles symptoms_binary shock crup final_diagnosis_code,0.7860740145279022
4,ausc_resp artritis dermatologic highest_fever final_diagnosis_code,0.7807250733810502
4,gi_first dolor_toracic spleno_first hemorr_first final_diagnosis_code,0.7468812342420694
4,headache_first sympt_epi smokers_home neuro final_diagnosis_code,0.8138907370753451
4,mialgies neuro home_confirmed hepato_first final_diagnosis_code,0.8370162956747969
4,nasal_congestion resp home_confirmed hemorrhagies final_diagnosis_code,0.825265196449416
4,fever neuro gi_first smokers_home final_diagnosis_code,0.7232105471075811
4,crackles ausc_resp crup fever final_diagnosis_code,0.793535227314386
4,dolor_toracic nasal_congestion tachypnea neuro_first final_diagnosis_code,0.7739668179989566
4,odynophagia tos nuchal_stiffness shock_first final_diagnosis_code,0.5803576426925684
4,disfonia_first resp flu_binary inflam_periferic final_diagnosis_code,0.7800587185319976
4,headache_first gi_first artritis symptoms_binary final_diagnosis_code,0.8048098753149768
4,nasal_congestion headache dermatologic home_confirmed final_diagnosis_code,0.8094485763065962
4,nasal_first dyarrea resp inflam_periferic final_diagnosis_code,0.7197429708524379
4,headache_first hepato_first nasal_first ocular_pain final_diagnosis_code,0.7958322206295957
4,spleno_first irritability headache_first wheezing final_diagnosis_code,0.7995063657638137
4,taste_first abdominal_pain dyarrea hemorr_first final_diagnosis_code,0.775205958469893
4,nuchal_stiffness crup school_symptoms headache_first final_diagnosis_code,0.7214923388647814
4,conjuntivitis nasal_first taste_first sex final_diagnosis_code,0.8023605207001403
4,symptoms_binary neuro hemorr_first artralgies final_diagnosis_code,0.7937184592473464
4,mialgies tachypnea abdominal_pain ausc_resp final_diagnosis_code,0.7681342440281903
4,ct2 dysphonia headache_first neuro final_diagnosis_code,0.7837561276405591
4,headache_first crackles fever shock_first final_diagnosis_code,0.6064488342593001
4,nuchal_stiffness fatiga peripheral_paralysis hepato_first final_diagnosis_code,0.7987852601383715
4,dolor_toracic hepato ct2 resp final_diagnosis_code,0.7398698490078962
4,dermatologic gi_symptoms fatiga flu_binary final_diagnosis_code,0.7682302233117879
4,odynophagia school_symptoms crup smokers_home final_diagnosis_code,0.7911172524710873
4,resp ct2 inflam_periferic neuro final_diagnosis_code,0.7261672993041708
4,spleno_first headache artritis mialgies final_diagnosis_code,0.802606764752212
4,hemorr_first fatiga spleno_first fever final_diagnosis_code,0.7977903931590202
