num, columnes, score
2,irritability spleno_first final_diagnosis_code,0.6647163373692028
2,fever ct2 final_diagnosis_code,0.6697364536913536
2,school_confirmed hemorrhagies final_diagnosis_code,0.6827985761281443
2,abdominal_pain hemorrhagies final_diagnosis_code,0.6547859862457026
2,headache home_confirmed final_diagnosis_code,0.7352600194367357
2,dysphonia peripheral_paralysis final_diagnosis_code,0.6655195821045093
2,disfonia_first tachypnea final_diagnosis_code,0.6631194694920811
2,conjuntivitis spleno_first final_diagnosis_code,0.672006334719641
2,odynophagia taste_first final_diagnosis_code,0.6939591463121463
2,conjuntivitis ausc_resp final_diagnosis_code,0.6660035943253361
2,peripheral_paralysis ocular_pain final_diagnosis_code,0.6617481081980665
2,school_confirmed fever final_diagnosis_code,0.6910167717006779
2,neuro_first fever final_diagnosis_code,0.6357289252598219
2,wheezing smokers_home final_diagnosis_code,0.670240097139443
2,abdominal_pain sex final_diagnosis_code,0.6624612108709217
2,ct2 conjuntivitis final_diagnosis_code,0.6726482182634089
2,crackles crup_first final_diagnosis_code,0.6317648544594751
2,mialgies headache final_diagnosis_code,0.6708061068095712
2,tachypnea conjuntivitis final_diagnosis_code,0.6666743901663837
2,dysphonia tachypnea final_diagnosis_code,0.6616919606345428
2,ausc_resp wheezing final_diagnosis_code,0.6586589518348631
2,mialgies hepato_first final_diagnosis_code,0.6709654889478921
2,hepato_first gi_first final_diagnosis_code,0.6645915926075429
2,lymph_first inflam_periferic final_diagnosis_code,0.6659664289600022
2,dysphonia dermatologic final_diagnosis_code,0.6449530183678585
2,crup_first sex final_diagnosis_code,0.6641543673250104
2,school_symptoms resp final_diagnosis_code,0.6786885145725581
2,taste_first disfonia_first final_diagnosis_code,0.6890028634190405
2,shock tos final_diagnosis_code,0.6449544285935831
2,crup_first irritability final_diagnosis_code,0.6372688203478507
2,conjuntivitis gi_symptoms final_diagnosis_code,0.658285894191899
2,smokers_home tachypnea final_diagnosis_code,0.6676911704325214
2,ct2 crup_first final_diagnosis_code,0.666050369769077
2,home_confirmed artritis final_diagnosis_code,0.7184625197157833
2,mialgies nuchal_stiffness final_diagnosis_code,0.6690656451492275
2,symptoms_binary tos final_diagnosis_code,0.6640562302792145
2,spleno_first mialgies final_diagnosis_code,0.6723207218413378
2,tachypnea peripheral_paralysis final_diagnosis_code,0.6627635988974219
2,fatiga hemorrhagies final_diagnosis_code,0.6599360804675551
2,nuchal_stiffness odynophagia final_diagnosis_code,0.620417444575139
2,sympt_epi hemorrhagies final_diagnosis_code,0.7093445084473681
2,wheezing sympt_epi final_diagnosis_code,0.7118750446113258
2,nasal_first abdominal_pain final_diagnosis_code,0.6557756393917757
2,nasal_congestion irritability final_diagnosis_code,0.6591415285506981
2,gi_first ocular_pain final_diagnosis_code,0.6674357290836846
