num, columnes, score
2,shock_first tos final_diagnosis_code,0.3294070590715012
2,tachypnea peripheral_paralysis final_diagnosis_code,0.6632292695979388
2,headache_first shock_first final_diagnosis_code,0.33407362292594467
2,crackles dolor_toracic final_diagnosis_code,0.6622281918651352
2,fever flu_binary final_diagnosis_code,0.6692128658244698
2,ct2 flu_binary final_diagnosis_code,0.6405657214149069
2,neuro_first disfonia_first final_diagnosis_code,0.6539213467937934
2,shock highest_fever final_diagnosis_code,0.6268901284342369
2,peripheral_paralysis crup_first final_diagnosis_code,0.6623433982130771
2,nuchal_stiffness sex final_diagnosis_code,0.6613087676063011
2,headache_first flu_binary final_diagnosis_code,0.6695268524517486
2,hemorrhagies hepato_first final_diagnosis_code,0.6591001340286422
2,nasal_first hepato_first final_diagnosis_code,0.6559724573188231
2,dermatologic crackles final_diagnosis_code,0.6669991533864131
2,highest_fever artralgies final_diagnosis_code,0.637688198773134
2,shock_first hemorrhagies final_diagnosis_code,0.3249372077247906
2,school_symptoms wheezing final_diagnosis_code,0.6802288844282921
2,hemorr_first nuchal_stiffness final_diagnosis_code,0.6581701848439966
2,dysphonia headache_first final_diagnosis_code,0.672835886558833
2,disfonia_first smokers_home final_diagnosis_code,0.6722631454989023
2,school_confirmed fever final_diagnosis_code,0.6915010178107514
2,crup highest_fever final_diagnosis_code,0.6600665546978898
2,lymph_first wheezing final_diagnosis_code,0.6622926114408094
2,spleno_first shock final_diagnosis_code,0.6463151771556701
2,headache dolor_toracic final_diagnosis_code,0.6647496559955709
2,nuchal_stiffness artritis final_diagnosis_code,0.6622570221515248
2,tos nuchal_stiffness final_diagnosis_code,0.6585099564759138
2,crup hepato_first final_diagnosis_code,0.6580216097623587
2,crup_first conjuntivitis final_diagnosis_code,0.6724591278257589
2,abdominal_pain ocular_pain final_diagnosis_code,0.6700295523393555
2,gi_symptoms dermatologic final_diagnosis_code,0.6673958293927412
2,taste_first hemorr_first final_diagnosis_code,0.6900056236211835
2,sex smokers_home final_diagnosis_code,0.6744791233270649
2,crup home_confirmed final_diagnosis_code,0.7217179142543949
2,headache_first final_diagnosis_code final_diagnosis_code,0.33640770125224684
2,shock dermatologic final_diagnosis_code,0.6485293590794123
2,conjuntivitis lymph_first final_diagnosis_code,0.6720494958913156
2,dermatologic school_symptoms final_diagnosis_code,0.6850657645659107
2,nuchal_stiffness conjuntivitis final_diagnosis_code,0.6699718420545014
2,disfonia_first symptoms_binary final_diagnosis_code,0.6683890230926485
2,headache home_confirmed final_diagnosis_code,0.7349114873739845
2,resp conjuntivitis final_diagnosis_code,0.672216478107635
2,final_diagnosis_code sympt_epi final_diagnosis_code,0.4134515077852612
2,shock dolor_toracic final_diagnosis_code,0.6442555982046775
2,crup hemorrhagies final_diagnosis_code,0.6501032518052386
2,ausc_resp resp final_diagnosis_code,0.6607567426942317
2,sympt_epi fever final_diagnosis_code,0.713257202168586
2,artralgies disfonia_first final_diagnosis_code,0.6657711019297086
2,nasal_first conjuntivitis final_diagnosis_code,0.6608325769710086
2,hemorr_first neuro final_diagnosis_code,0.6575572647251997
2,mialgies crackles final_diagnosis_code,0.6700193263538528
2,dermatologic gi_symptoms final_diagnosis_code,0.6667462473229776
2,irritability crackles final_diagnosis_code,0.664935306726428
2,disfonia_first dysphonia final_diagnosis_code,0.6672032773375788
2,gi_first headache_first final_diagnosis_code,0.6688610491867198
2,ocular_pain crackles final_diagnosis_code,0.6704151121406984
2,wheezing dolor_toracic final_diagnosis_code,0.6612764826929408
